Nuclide Name,ZAID,ORION ID,Parent 16 ZAID,Parent 17 ZAID,Parent 102 ZAID,Parent 103 ZAID,Parent(M) 16 ZAID,Parent(2M) 16 ZAID,Parent(M) 17 ZAID,Parent(2M) 17 ZAID,Parent(M) 102 ZAID,Parent(2M) 102 ZAID,Parent(M) 103 ZAID,Parent(2M) 103 ZAID
TC94(1),430941,609,430950,430960,NA,NA,430951,NA,NA,NA,NA,NA,NA,NA
TC95(1),430951,611,430960,430970,NA,NA,NA,NA,430971,NA,NA,NA,NA,NA
TC96(1),430961,613,430970,430980,430950,440960,430971,NA,NA,NA,430951,NA,NA,NA
TC97(1),430971,615,430980,430990,430960,440970,NA,NA,430991,NA,NA,NA,NA,NA
TC99(1),430991,618,NA,NA,430980,440990,NA,NA,NA,NA,NA,NA,NA,NA
TC102(1),431021,622,NA,NA,NA,441020,NA,NA,NA,NA,NA,NA,NA,NA
RH97(1),450971,659,NA,450990,NA,NA,NA,NA,450991,NA,NA,NA,NA,NA
RH98(1),450981,661,450990,451000,NA,NA,450991,NA,NA,NA,NA,NA,NA,NA
RH99(1),450991,663,451000,451010,NA,NA,NA,NA,451011,NA,NA,NA,NA,NA
RH100(1),451001,665,451010,451020,450990,461000,451011,NA,451021,NA,450991,NA,NA,NA
RH101(1),451011,667,451020,451030,451000,461010,451021,NA,NA,NA,NA,NA,NA,NA
RH102(1),451021,669,451030,NA,451010,46102,NA,NA,NA,NA,451011,NA,NA,NA
RH103(1),451031,670,NA,451050,451020,461040,NA,NA,NA,NA,451021,NA,NA,NA
RH104(1),451041,672,451050,NA,451030,461040,NA,NA,NA,NA,NA,NA,NA,NA
RH105(1),451051,674,NA,NA,NA,461050,NA,NA,NA,NA,NA,NA,NA,NA
RH106(1),451061,676,NA,NA,451050,461060,NA,NA,NA,NA,NA,NA,NA,NA
RH108(1),451081,679,NA,NA,NA,461080,NA,NA,NA,NA,NA,NA,NA,NA
RH110(1),451101,682,NA,NA,NA,461100,NA,NA,NA,NA,NA,NA,NA,NA
PD107(1),461071,701,461080,461090,461060,471070,NA,NA,NA,NA,NA,NA,NA,NA
PD109(1),461091,703,NA,461100,461080,471090,NA,NA,NA,NA,NA,NA,NA,NA
PD111(1),461111,705,461120,NA,461100,471110,NA,NA,NA,NA,NA,NA,NA,NA
PD113(1),461131,708,NA,NA,461120,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG103(1),471031,728,NA,371050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG104(1),471041,730,471050,NA,NA,NA,471061,NA,NA,NA,NA,NA,NA,NA
AG105(1),471051,732,NA,471070,NA,NA,471061,NA,NA,NA,NA,NA,NA,NA
AG106(1),471061,734,471070,NA,471050,481060,NA,NA,471081,NA,NA,NA,NA,NA
AG107(1),471071,735,NA,471090,NA,481070,471081,NA,NA,NA,471061,NA,NA,NA
AG108(1),471081,737,471090,NA,471070,481080,NA,NA,471101,NA,NA,NA,NA,NA
AG109(1),471091,738,NA,471110,NA,481090,471101,NA,NA,NA,471081,NA,NA,NA
AG110(1),471101,740,471110,NA,471090,481100,NA,NA,NA,NA,NA,NA,NA,NA
AG111(1),471111,742,NA,NA,NA,481110,NA,NA,NA,NA,471101,NA,NA,NA
AG113(1),471131,745,NA,NA,NA,481130,NA,NA,NA,NA,NA,NA,481131,NA
AG114(1),471141,747,NA,NA,NA,481140,NA,NA,NA,NA,NA,NA,NA,NA
AG115(1),471151,749,NA,NA,NA,481150,NA,NA,NA,NA,NA,NA,481151,NA
AG116(1),471161,751,NA,NA,NA,481160,NA,NA,NA,NA,NA,NA,NA,NA
CD111(1),481111,774,481120,481130,481100,491110,NA,NA,481131,NA,NA,NA,NA,NA
CD113(1),481131,776,481140,481150,481120,491130,NA,NA,481151,NA,NA,NA,NA,NA
CD115(1),481151,778,481160,NA,481140,491150,NA,NA,NA,NA,NA,NA,NA,NA
CD117(1),481171,780,NA,NA,481160,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN109(1),491091,807,NA,491110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN109(2),491092,808,NA,491110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN110(1),491101,810,491110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN111(1),491111,812,NA,491130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IN112(1),491121,814,491130,NA,491110,501120,NA,NA,491141,NA,NA,NA,NA,NA
IN113(1),491131,815,NA,491150,NA,501130,491141,NA,NA,NA,NA,NA,NA,NA
IN114(1),491141,817,491150,NA,491130,501140,NA,NA,NA,NA,NA,NA,NA,NA
IN115(1),491151,820,NA,NA,NA,501150,491141,NA,NA,NA,NA,NA,NA,NA
IN116(1),491161,822,NA,NA,491150,501160,NA,NA,NA,NA,NA,NA,NA,NA
IN116(2),491162,823,NA,NA,491150,501160,NA,NA,NA,NA,NA,NA,NA,NA
IN117(1),491171,825,NA,NA,NA,501170,NA,NA,NA,NA,NA,NA,501171,NA
IN118(1),491181,827,NA,NA,NA,501180,NA,NA,NA,NA,NA,NA,NA,NA
IN118(2),491182,828,NA,NA,NA,501180,NA,NA,NA,NA,NA,NA,NA,NA
IN119(1),491190,830,NA,NA,NA,501190,NA,NA,NA,NA,NA,NA,501191,NA
IN120(1),491201,832,NA,NA,NA,501200,NA,NA,NA,NA,NA,NA,NA,NA
IN120(2),491202,833,NA,NA,NA,501200,NA,NA,NA,NA,NA,NA,NA,NA
IN121(1),491211,835,NA,NA,NA,501210,NA,NA,NA,NA,NA,NA,501211,NA
IN122(1),491221,837,NA,NA,NA,501220,NA,NA,NA,NA,NA,NA,NA,NA
IN122(2),491222,838,NA,NA,NA,501220,NA,NA,NA,NA,NA,NA,NA,NA
IN123(1),491231,840,NA,NA,NA,501230,NA,NA,NA,NA,NA,NA,NA,NA
IN124(1),491241,842,NA,NA,NA,501240,NA,NA,NA,NA,NA,NA,NA,NA
IN125(1),491251,844,NA,NA,NA,501250,NA,NA,NA,NA,NA,NA,NA,NA
IN126(1),491261,846,NA,NA,NA,501260,NA,NA,NA,NA,NA,NA,NA,NA
SN113(1),501131,868,501140,501150,501120,NA,NA,NA,NA,NA,NA,NA,NA,NA
SN117(1),501171,869,501180,501190,501160,NA,NA,NA,501191,NA,NA,NA,NA,NA
SN119(1),501191,870,501200,501210,501180,511190,NA,NA,501211,NA,NA,NA,NA,NA
SN121(1),501211,872,501220,501230,501200,511210,NA,NA,NA,NA,NA,NA,NA,NA
SN123(1),501231,874,501240,501250,501220,511230,NA,NA,NA,NA,NA,NA,NA,NA
SN125(1),501251,876,501260,NA,501240,511250,NA,NA,NA,NA,NA,NA,NA,NA
SN127(1),501271,879,NA,NA,501260,511270,NA,NA,NA,NA,NA,NA,NA,NA
SN128(1),501281,881,NA,NA,NA,511280,NA,NA,NA,NA,NA,NA,NA,NA
SB118(1),511181,905,511190,511201,NA,521191,NA,NA,NA,NA,NA,NA,NA,NA
SB120(1),511201,908,511210,511220,511190,521200,NA,NA,NA,NA,NA,NA,NA,NA
SB122(1),511221,910,511230,511240,511210,521220,NA,NA,NA,NA,NA,NA,NA,NA
SB124(1),511241,912,511250,511260,511230,521240,NA,NA,NA,NA,NA,NA,NA,NA
SB124(2),511242,913,511250,511260,511230,521240,NA,NA,NA,NA,NA,NA,NA,NA
SB126(1),511261,916,511270,511280,511250,521260,NA,NA,NA,NA,NA,NA,NA,NA
SB126(2),511252,917,511270,511280,511250,521260,NA,NA,NA,NA,NA,NA,NA,NA
SB128(1),511281,920,NA,NA,511270,521280,NA,NA,NA,NA,NA,NA,NA,NA
SB129(1),511291,922,NA,NA,511280,521290,NA,NA,NA,NA,NA,NA,521291,NA
SB130(1),511301,924,NA,NA,NA,521300,NA,NA,NA,NA,NA,NA,NA,NA
SB132(1),511321,927,NA,NA,NA,521320,NA,NA,NA,NA,NA,NA,NA,NA
TE117(1),521171,946,521180,521190,NA,NA,NA,NA,521191,NA,NA,NA,NA,NA
TE119(1),521191,949,521200,521210,521180,NA,NA,NA,521211,NA,NA,NA,NA,NA
TE121(1),521211,951,521220,521230,521200,NA,NA,NA,521231,NA,NA,NA,NA,NA
TE123(1),521231,953,521240,521250,521220,531230,NA,NA,521251,NA,NA,NA,NA,NA
TE125(1),521251,954,521260,521270,521240,531250,NA,NA,521271,NA,NA,NA,NA,NA
TE127(1),521271,956,521280,521290,521260,531270,NA,NA,521291,NA,NA,NA,NA,NA
TE129(1),521291,958,521300,NA,521280,531290,NA,NA,521311,NA,NA,NA,NA,NA
TE131(1),521311,960,521320,NA,521300,531310,NA,NA,NA,NA,NA,NA,NA,NA
TE133(1),521331,963,NA,NA,521320,531330,NA,NA,NA,NA,NA,NA,NA,NA
I130(1),531301,994,531310,NA,531290,541300,NA,NA,NA,NA,NA,NA,NA,NA
I132(1),531321,997,NA,531350,NA,541330,NA,NA,NA,NA,NA,NA,541331,NA
I133(1),531331,999,NA,531350,NA,541330,NA,NA,NA,NA,NA,NA,541331,NA
I134(1),531341,1001,531350,NA,531330,541340,NA,NA,NA,NA,NA,NA,NA,NA
I136(1),531361,1004,NA,NA,531350,541360,NA,NA,NA,NA,NA,NA,NA,NA
XE125(1),541251,1026,541260,541270,541240,NA,NA,NA,NA,NA,NA,NA,NA,NA
XE127(1),541271,1028,541280,541290,541260,551270,NA,NA,541291,NA,NA,NA,NA,NA
XE129(1),541291,1029,541300,541310,541280,551290,NA,NA,541311,NA,NA,NA,NA,NA
XE131(1),541311,1030,541320,541330,541300,551310,NA,NA,541331,NA,NA,NA,NA,NA
XE133(1),541331,1032,541340,541350,541320,551330,NA,NA,NA,NA,NA,NA,NA,NA
XE134(1),541341,1033,541350,541360,541330,551340,NA,NA,NA,NA,541331,NA,NA,NA
XE135(1),541351,1035,541360,NA,541340,551350,NA,NA,NA,NA,NA,NA,NA,NA
CS134(1),551341,1070,551350,551360,551330,561340,NA,NA,NA,NA,NA,NA,NA,NA
CS135(1),551351,1072,551360,551370,551340,561350,NA,NA,NA,NA,NA,NA,561351,NA
CS136(1),551361,1074,551370,NA,551350,561360,NA,NA,NA,NA,NA,NA,NA,NA
CS138(1),551381,1077,NA,NA,551370,561380,NA,NA,NA,NA,NA,NA,NA,NA
BA129(1),561291,1098,561300,561310,561280,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA131(1),561311,1101,561320,561330,561300,NA,NA,NA,561331,NA,NA,NA,NA,NA
BA133(1),561331,1103,561340,561350,561320,NA,NA,NA,561351,NA,NA,NA,NA,NA
BA135(1),561351,1104,561360,561370,561340,571350,NA,NA,NA,NA,NA,NA,NA,NA
BA136(1),561361,1105,561370,561380,561350,NA,NA,NA,NA,NA,561351,NA,NA,NA
BA137(1),561371,1106,561380,561390,561360,571370,NA,NA,NA,NA,NA,NA,NA,NA
LA136(1),571361,1133,571370,571380,571350,581360,NA,NA,NA,NA,NA,NA,NA,NA
CE133(1),581331,1154,581340,581350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE135(1),581351,1157,581360,581370,581340,NA,NA,NA,581371,NA,NA,NA,NA,NA
CE137(1),581371,1159,581380,581390,581360,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE139(1),581391,1162,581400,581410,581380,NA,NA,NA,NA,NA,NA,NA,NA,NA
PR142(1),591421,1186,591430,NA,591410,601420,NA,NA,NA,NA,NA,NA,NA,NA
PR144(1),591441,1189,NA,NA,591430,601440,NA,NA,NA,NA,NA,NA,NA,NA
PR148(1),591481,1194,NA,NA,NA,601480,NA,NA,NA,NA,NA,NA,NA,NA
ND139(1),601391,1209,601400,601410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND141(1),601411,1212,601420,601430,601400,NA,NA,NA,NA,NA,NA,NA,NA,NA
PM148(1),611481,1240,611490,611500,611470,621480,NA,NA,NA,NA,NA,NA,NA,NA
PM152(1),611521,1245,NA,NA,611510,621520,NA,NA,NA,NA,NA,NA,NA,NA
PM152(2),611522,1246,NA,NA,611510,621520,NA,NA,NA,NA,NA,NA,NA,NA
PM154(1),611541,1249,NA,NA,NA,621540,NA,NA,NA,NA,NA,NA,NA,NA
SM143(1),621431,1263,621440,621450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EU150(1),631501,1296,631510,631520,631490,641500,NA,NA,631521,NA,NA,NA,NA,NA
EU152(1),631521,1298,631530,631540,631510,641520,NA,NA,NA,NA,NA,NA,NA,NA
EU152(2),631522,1299,631530,631540,631510,641520,NA,NA,NA,NA,NA,NA,NA,NA
EU154(1),631541,1301,631550,631560,631530,641540,NA,NA,NA,NA,NA,NA,NA,NA
GD145(1),641451,1316,641460,641470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB149(1),651491,1341,651510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB150(1),651501,1343,651510,651520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB151(1),651511,1345,651520,651530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB152(1),651521,1347,651530,651540,651510,NA,NA,NA,651541,651542,NA,NA,NA,NA
TB154(1),651541,1350,651550,651560,651530,661540,NA,NA,651561,651562,NA,NA,NA,NA
TB154(2),651542,1351,651550,651560,651530,661540,NA,NA,651561,651562,NA,NA,NA,NA
TB156(1),651561,1354,651570,651580,651550,661560,NA,NA,NA,NA,NA,NA,NA,NA
TB156(2),651562,1355,651570,651580,651550,661560,NA,NA,NA,NA,NA,NA,NA,NA
TB158(1),651581,1358,651590,651600,651570,661580,NA,NA,NA,NA,NA,NA,NA,NA
DY165(1),661651,1382,661660,NA,661640,671650,NA,NA,NA,NA,NA,NA,NA,NA
HO160(1),671611,1411,NA,NA,NA,681600,NA,NA,NA,NA,NA,NA,NA,NA
HO161(1),671611,1413,NA,671630,NA,681610,NA,NA,NA,NA,NA,NA,NA,NA
HO162(1),671621,1415,671630,671640,NA,681620,NA,NA,671641,NA,NA,NA,NA,NA
HO163(1),671631,1417,671640,671650,NA,NA,671641,NA,NA,NA,NA,NA,NA,NA
HO164(1),671641,1419,671650,671660,671630,681640,NA,NA,671661,NA,NA,NA,NA,NA
HO166(1),671661,1421,NA,NA,671650,681660,NA,NA,NA,NA,NA,NA,NA,NA
HO170(1),671701,1426,NA,NA,NA,681700,NA,NA,NA,NA,NA,NA,NA,NA
ER167(1),681671,1444,681680,681690,681660,691670,NA,NA,NA,NA,NA,NA,NA,NA
TM164(1),691641,1469,691650,691660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YB169(1),701681,1498,701700,701710,701680,711690,NA,NA,NA,NA,NA,NA,NA,NA
YB176(1),701761,1500,NA,NA,701750,711760,NA,NA,NA,NA,NA,NA,NA,NA
YB177(1),701771,1502,NA,NA,701760,711770,NA,NA,NA,NA,NA,NA,711771,NA
LU168(1),711681,1525,711690,711700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU169(1),711691,1527,711700,711710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU170(1),711701,1529,711710,711720,711690,721700,NA,NA,NA,NA,NA,NA,NA,NA
LU171(1),711711,1531,711720,711730,711700,721710,NA,NA,NA,NA,NA,NA,NA,NA
LU172(1),711730,1533,711730,711740,711710,721720,NA,NA,711741,NA,NA,NA,NA,NA
LU174(1),711741,1536,711750,711760,711730,721740,NA,NA,NA,NA,NA,NA,NA,NA
LU176(1),711761,1538,711770,NA,711750,721760,711771,NA,NA,NA,NA,NA,NA,NA
LU177(1),711771,1540,NA,NA,711760,721770,NA,NA,NA,NA,NA,NA,NA,NA
LU178(1),711781,1542,NA,NA,711770,721780,NA,NA,NA,NA,711771,NA,NA,721782
HF177(1),721771,1568,721780,721790,721760,731770,NA,721782,NA,721792,NA,NA,NA,NA
HF177(2),721772,1569,721780,721790,721760,731770,NA,721782,NA,721792,NA,NA,NA,NA
HF178(1),721781,1570,721790,721800,721770,NA,NA,721792,721801,NA,NA,NA,NA,NA
HF178(2),721782,1571,721790,721800,721770,NA,NA,721792,721801,NA,NA,NA,NA,NA
HF179(1),721791,1572,721800,721810,721780,731790,721801,NA,NA,NA,NA,721782,NA,NA
HF179(2),721792,1573,721800,721810,721780,731790,721801,NA,NA,NA,NA,721782,NA,NA
HF180(1),721801,1574,721810,721820,721790,731800,NA,NA,NA,NA,NA,721792,731801,NA
HF182(1),721821,1577,NA,NA,721810,731820,NA,NA,NA,NA,NA,NA,NA,NA
TA178(1),731781,1599,731790,731800,731770,741780,NA,NA,731801,NA,NA,NA,NA,NA
TA182(1),731821,1603,731830,731840,731810,741820,NA,NA,NA,NA,NA,NA,NA,NA
TA182(2),731822,1604,731830,731840,731810,741820,NA,NA,NA,NA,NA,NA,NA,NA
W179(1),741791,1626,741800,741810,741780,NA,NA,NA,NA,NA,NA,NA,NA,NA
W183(1),741831,1628,741840,741850,741820,751830,NA,NA,NA,NA,NA,NA,NA,NA
W185(1),741851,1630,741860,741870,741840,751850,NA,NA,NA,NA,NA,NA,NA,NA
RE182(1),751821,1655,751830,751840,751810,761820,NA,NA,751841,NA,NA,NA,NA,NA
RE184(1),751841,1659,751850,751860,751830,761840,NA,NA,751861,NA,NA,NA,NA,NA
RE186(1),751861,1661,751870,751880,751850,761860,NA,NA,NA,NA,NA,NA,NA,NA
RE188(1),751881,1664,751890,NA,751870,761880,NA,NA,NA,NA,NA,NA,NA,NA
RE190(1),751901,1667,NA,NA,751890,761900,NA,NA,NA,NA,NA,NA,NA,NA
OS181(1),761811,1684,761820,761830,NA,NA,NA,NA,761831,NA,NA,NA,NA,NA
OS183(1),761831,1687,761840,761850,761820,NA,NA,NA,NA,NA,NA,NA,NA,NA
OS189(1),761891,1690,761900,761910,761880,771890,NA,NA,761911,NA,NA,NA,NA,NA
OS190(1),761901,1691,761910,761920,761890,771900,761911,NA,NA,NA,NA,NA,NA,NA
OS191(1),761911,1693,761920,761930,761900,771910,NA,NA,NA,NA,NA,NA,NA,NA
OS192(1),761921,1694,761930,761940,761910,771920,NA,NA,NA,NA,761911,NA,NA,771922
IR186(1),771861,1715,771870,771880,771850,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR190(1),771901,1720,771910,771920,771890,781900,NA,NA,NA,771922,NA,NA,NA,NA
IR190(2),771902,1721,771910,771920,771890,781900,NA,NA,NA,771922,NA,NA,NA,NA
IR191(1),771911,1722,771920,771930,771900,781910,NA,771922,771931,NA,NA,NA,NA,NA
IR192(1),771921,1724,771930,771940,771910,781920,771931,NA,NA,771942,NA,NA,NA,NA
IR192(2),771922,1725,771930,771940,771910,781920,771931,NA,NA,771942,NA,NA,NA,NA
IR193(1),771931,1726,771940,NA,771920,781930,NA,771942,NA,NA,NA,771922,781931,NA
